Countries,Education_prices_2017,Global_rank,Gov_expenditure_on_education_by_Percentage_GDP_2017,Continent,Population_2017
Luxembourg,402.71,1,3.48645997,Europe,596336
Bermuda,348.25,2,1.324959993,North America,63873
Switzerland,289,3,5.017650127,Europe,8451840
United States of America,272.75,4,5.122879982,North America,325122128
Iceland,268.37,5,7.583859921,Europe,343400
Norway,256.97,6,7.845980167,Europe,5276968
Sweden,233.82,7,7.568830013,Europe,10057698
Austria,205.98,8,5.371590137,Europe,8797566
Australia,205.51,9,5.138229847,Oceania,24592588
Denmark,196.8,10,7.115859985,Europe,5764980
Barbados,189.35,11,4.363840103,North America,279187
Qatar,187.01,12,2.967459917,Asia,2711755
Belgium,179.94,13,6.425340176,Europe,11375158
United Kingdom,177.85,14,5.431250095,Europe,66058859
Hong Kong,176.06,15,3.309890032,Asia,7393200
Canada,169,16,4.959969997,North America,36545075
Israel,162.23,17,6.007719994,Asia,8713300
Bahamas,161.34,18,2.806999922,North America,399020
Cyprus,160.28,19,5.69961977,Europe,1208523
South Korea,158.34,20,4.328239918,Asia,51361911
Netherlands,153.47,21,5.17509985,Europe,17131296
Kuwait,148.93,22,,Asia,4124904
United Arab Emirates,146.69,23,,Asia,9068296
Finland,142.76,24,6.363110065,Europe,5508214
Germany,141,25,4.871829987,Europe,82657002
Japan,139.6,26,3.130579948,Asia,126972000
Ireland,138.51,27,3.499419928,Europe,4807388
Singapore,131.65,28,2.757536888,Asia,5612253
Malta,128.18,29,4.559179783,Europe,467999
France,125.12,30,5.451600075,Europe,66918020
New Zealand,122.28,31,5.2802701,Oceania,4813600
Italy,118.56,32,4.044939995,Europe,60536709
China,117.38,33,3.624000072,Asia,1396215000
Uruguay,112.76,34,4.417870045,South America,3422200
Spain,111.13,35,4.205520153,Europe,46593236
Aruba,110.84,36,,North America,105439
Oman,108.92,37,5.995940208,Asia,4541854
Slovenia,102.07,38,4.780539989,Europe,2066388
Brazil,101.85,39,6.32047987,South America,208504960
Belize,97.11,40,5.902510166,North America,374693
Portugal,91.99,41,5.015610218,Europe,10300300
Bahrain,89.11,42,2.324520111,Asia,1456834
Antigua and Barbuda,87.41,44,2.871000051,North America,91119
Mauritius,87.32,45,4.87887001,Africa,1264887
Namibia,87.28,46,9.708999634,Africa,2364534
Djibouti,86.05,47,3.733449936,Africa,1040233
Saudi Arabia,84.65,48,,Asia,34193122
Trinidad and Tobago,83.52,49,3.529999971,North America,1478607
Saint Lucia,81.54,50,3.632999897,North America,177163
Maldives,79.09,51,3.872999907,Asia,472442
Greece,76.59,52,3.477089882,Europe,10754679
Bolivia,76.58,53,8.097240448,South America,11435533
Peru,76.45,54,3.931309938,South America,31605486
Ecuador,74.28,55,4.613999844,South America,16696944
Fiji,73.09,56,4.881000042,Oceania,919019
South Africa,72.59,57,5.598670006,Africa,56641209
Morocco,72.58,58,4.736000061,Africa,35528115
Estonia,72.33,59,4.961319923,Europe,1317384
Saint Vincent and the Grenadines,72.29,60,5.379759789,North America,105549
Tanzania,71.51,61,4.430510044,Africa,56267032
Argentina,71.42,62,5.454319954,South America,44044811
Grenada,69.86,63,3.173799992,North America,120921
Cote d'Ivoire,68.36,64,3.736540079,Africa,24848016
Honduras,68.17,65,5.743999958,North America,9626842
Latvia,67.95,66,4.366710186,Europe,1942248
Iraq,67.72,67,,Asia,39621162
Lesotho,66.96,68,8.155320168,Africa,2170617
Hungary,65.51,69,4.647570133,Europe,9787966
Malaysia,65.5,70,4.184999943,Asia,31975806
Jamaica,65.06,71,5.260169983,North America,2808376
Slovakia,64.59,72,3.932209969,Europe,5439232
Czechia,64.16,73,3.806159973,Europe,10594438
Chile,62.93,74,5.432789803,South America,18368577
Brunei,61.49,75,,Asia,430276
El Salvador,60.7,76,3.725229979,North America,6266654
Nigeria,58.91,77,,Africa,193495907
Costa Rica,58.13,78,7.069809914,North America,4993842
Jordan,57.93,79,3.213059902,Asia,10215381
Eswatini,57.23,80,6.177999973,Africa,1151390
Panama,56.02,81,2.976999998,North America,4096063
Haiti,55.78,82,1.498469949,North America,10863543
Botswana,54.34,83,7.809000015,Africa,2401840
Niger,53.92,84,2.578180075,Africa,21737922
Dominica,53.9,85,5.210000038,North America,70403
Seychelles,53.58,86,4.235000134,Africa,95843
Croatia,53.4,87,3.889219999,Europe,4124531
Poland,53.04,88,4.574649811,Europe,37974826
Zimbabwe,52.93,89,5.818779945,Africa,14751101
Lithuania,52.61,90,3.812200069,Europe,2828403
Cape Verde,51.43,92,4.592780113,Africa,564954
Zambia,49.3,93,3.729640007,Africa,17298054
Dominican Republic,47.9,94,3.920000076,North America,10647244
Bangladesh,47.82,95,1.850000024,Asia,161793964
Senegal,43.24,96,4.624969959,Africa,15157793
Thailand,43.22,97,3.464999914,Asia,70898202
Philippines,43.15,98,3.970999956,Asia,106738501
Tunisia,43.13,99,,Africa,11811443
Togo,43.12,100,3.760529995,Africa,7852795
Guyana,42.49,101,4.66478014,South America,763252
Indonesia,41.4,102,2.669978619,Asia,264498852
Suriname,41.18,103,5.459000111,South America,587559
Congo (Kinshasa),40.62,104,1.454949975,Africa,84283273
